round,residual_energy
1,49.95806365845756
2,49.9161953758506
3,49.87394825843565
4,49.834818024735576
5,49.79341737802321
6,49.75665933408072
7,49.71728193546253
8,49.67928869150164
9,49.64304239993186
10,49.604331012896964
11,49.564974407107314
12,49.52699458049854
13,49.49324215713378
14,49.458287981981385
15,49.42531020488096
16,49.39392670954165
17,49.364804213012796
18,49.34097824796755
19,49.31251613015117
20,49.27061910585175
21,49.225686255527044
22,49.183538929620916
23,49.14407236092395
24,49.10261394294279
25,49.0629757469119
26,49.02520331235729
27,48.985862304069705
28,48.945157190767695
29,48.90813097535401
30,48.86875517932638
31,48.83318262817219
32,48.79763956572007
33,48.76383282764913
34,48.729457266703875
35,48.69568789145452
36,48.66853936277223
37,48.64259771135869
38,48.60984915084685
39,48.58309811821458
40,48.54177552470138
41,48.501911063750015
42,48.46269462351819
43,48.418618776238965
44,48.37829828537186
45,48.33918008220582
46,48.3006147834952
47,48.259746478211234
48,48.21863936377016
49,48.17727664239614
50,48.13875434693136
51,48.102270968854164
52,48.06750503501647
53,48.03273260844416
54,48.001828468080355
55,47.970330157810125
56,47.94041777785334
57,47.907755426300454
58,47.87474004340082
59,47.84826177551642
60,47.80445525492587
61,47.762461170037845
62,47.72036370850882
63,47.67954870873368
64,47.63906992461046
65,47.599624388186996
66,47.559122379084954
67,47.520932353838674
68,47.48454690113003
69,47.442182675933275
70,47.40612852625379
71,47.36976563717529
72,47.33476293558942
73,47.30067823592957
74,47.269162203645855
75,47.24199447635016
76,47.20345340138156
77,47.16920649878172
78,47.13587436743137
79,47.108418307527074
80,47.06475665748618
81,47.02579402209881
82,46.98414775819291
83,46.946113342984354
84,46.90847457497054
85,46.86723329246562
86,46.82713363622288
87,46.78907315076773
88,46.754621114087584
89,46.71736772962034
90,46.68284579538357
91,46.64782645050968
92,46.61216400216335
93,46.57978852845674
94,46.55034702147616
95,46.51141881307399
96,46.47548181015373
97,46.43865320439594
98,46.40651063987107
99,46.37745169938052
100,46.333131690181354
101,46.29298165153361
102,46.25462764485745
103,46.21496646051982
104,46.17465754594293
105,46.137374001911446
106,46.09885803460441
107,46.06286184055526
108,46.024489316134336
109,45.98688951772462
110,45.949970455623145
111,45.91433024540356
112,45.88470644345606
113,45.85640736755495
114,45.817211944819384
115,45.77844365458405
116,45.74262155085905
117,45.70809678364201
118,45.67570998305964
119,45.64682325878318
120,45.6055978815618
121,45.565596971760954
122,45.526592168690726
123,45.48390634628043
124,45.44600216075879
125,45.40655073740425
126,45.36642228394331
127,45.32954842502279
128,45.29364142324842
129,45.25813135093329
130,45.22606129732878
131,45.1930593166436
132,45.167973196150704
133,45.128347088858156
134,45.09165897203597
135,45.05594171439377
136,45.01745393389782
137,44.9836740221264
138,44.950370026957444
139,44.92152886751223
140,44.883130238745956
141,44.841453042446716
142,44.802961848812764
143,44.76212329393669
144,44.72609581796741
145,44.688250854804906
146,44.652615371941984
147,44.6127604143709
148,44.57894178230268
149,44.546514718005795
150,44.51265750227157
151,44.482013758136446
152,44.42944076468016
153,44.39039690228128
154,44.351405586943514
155,44.31413524526258
156,44.279146335854456
157,44.24571176978191
158,44.21271841341784
159,44.18442759720865
160,44.1465391846069
161,44.10572582794182
162,44.06660178489426
163,44.02931599871755
164,43.991581965725594
165,43.952710825146966
166,43.91687698490852
167,43.884041498546075
168,43.84925872066299
169,43.81875568535262
170,43.79042652116542
171,43.7475770106779
172,43.70725834110167
173,43.672158069401554
174,43.63620743031618
175,43.60094551662967
176,43.56422687617683
177,43.52986580839376
178,43.49790941279251
179,43.468791064297655
180,43.42959864203781
181,43.39181465846584
182,43.35135990856027
183,43.31155337648645
184,43.27432516993574
185,43.237232655391445
186,43.20244871939339
187,43.1683942197377
188,43.13609460081428
189,43.10990538429784
190,43.068577589146166
191,43.02850602312364
192,42.988210809694266
193,42.9514420358178
194,42.91321532518776
195,42.87656377969458
196,42.840038130169006
197,42.8066555195025
198,42.77388000440766
199,42.74530761030476
200,42.70239088919314
201,42.66451106396087
202,42.62628817279524
203,42.59145332650038
204,42.554629115597656
205,42.52039245789403
206,42.48722778063392
207,42.4546174905605
208,42.426654253084266
209,42.388042829222556
210,42.349338741787776
211,42.31138473810251
212,42.272571312588376
213,42.23334978552671
214,42.19541243912059
215,42.15551947472956
216,42.11996280508406
217,42.08653802066027
218,42.05335887948555
219,42.02487378306169
220,41.98499646715898
221,41.94654596785642
222,41.90898541332309
223,41.873463941753826
224,41.83841163751734
225,41.804519109501236
226,41.77441430192806
227,41.7463502644376
228,41.707657352226796
229,41.66796431513686
230,41.632720216118585
231,41.5952447870029
232,41.556819979948784
233,41.51648033410075
234,41.47856659808092
235,41.44052678687944
236,41.40495504061346
237,41.36948924231992
238,41.336648348949446
239,41.30899621830192
240,41.272858651127876
241,41.23465066345465
242,41.19568322627481
243,41.15900579291053
244,41.124871606594326
245,41.090905867738236
246,41.06127836163203
247,41.02168915557746
248,40.9804023030758
249,40.94093868963882
250,40.90377511181851
251,40.86772147788856
252,40.829837608700636
253,40.79003827981522
254,40.752541855596874
255,40.716826813571934
256,40.67775540167052
257,40.64107510932822
258,40.606635362411275
259,40.577837941349514
260,40.54211093293318
261,40.50447919258687
262,40.47028123992499
263,40.43889019186204
264,40.407052489955014
265,40.379460061170064
266,40.339870551426934
267,40.30023443094558
268,40.26168966794178
269,40.221783720030956
270,40.18564853100699
271,40.14753060533074
272,40.10834065001819
273,40.072468278785635
274,40.03497733297124
275,39.99665087075213
276,39.962159621173164
277,39.929414685692784
278,39.89623374114863
279,39.865055761504046
