round,residual_energy
1,49.959054537168
2,49.921282614994844
3,49.884703968991744
4,49.844619918521026
5,49.80520085989879
6,49.76572193252884
7,49.72755819445169
8,49.692572156439866
9,49.65676029047841
10,49.61790311630583
11,49.57882278225194
12,49.54237601837532
13,49.5031856217383
14,49.464745742708566
15,49.422310432486924
16,49.38205184904985
17,49.34635487231647
18,49.30339750058551
19,49.26928084391495
20,49.23072097339579
21,49.19139403028206
22,49.15292697640673
23,49.116205602296674
24,49.079400820817575
25,49.04312763711667
26,49.00689984378095
27,48.967021930081174
28,48.92970876498499
29,48.89050586993154
30,48.85254682570385
31,48.81378389698
32,48.77784332638294
33,48.73715485928616
34,48.69687002834864
35,48.65930169528178
36,48.61989679858864
37,48.583692021132016
38,48.54671508398132
39,48.51018937737664
40,48.468472072357066
41,48.43141749930801
42,48.39458280027271
43,48.35658350703207
44,48.32094828371554
45,48.28455197649487
46,48.243312485374304
47,48.20467588518559
48,48.16394738954163
49,48.123656554496506
50,48.086526587962176
51,48.04844885147991
52,48.010297714265334
53,47.974965793995345
54,47.936120886833685
55,47.899837636137896
56,47.86061896049944
57,47.824674026223526
58,47.7885776263811
59,47.751504080063675
60,47.71449788354601
61,47.67392778459334
62,47.635277508947155
63,47.596249256283464
64,47.55714046990259
65,47.52159004030648
66,47.483452173165745
67,47.44548382749671
68,47.4046849641244
69,47.36825795613264
70,47.33126735770727
71,47.29738176630568
72,47.25904962640245
73,47.21882524910688
74,47.180381765202185
75,47.14329162678107
76,47.1040881365305
77,47.066127203346554
78,47.027962504392214
79,46.98824158581868
80,46.950387164141404
81,46.91323754668791
82,46.874766927144265
83,46.83403701224306
84,46.7958188775339
85,46.76009145337559
86,46.72152009651364
87,46.686025943142404
88,46.64763867616762
89,46.61120996846864
90,46.57251064644995
91,46.533722029852306
92,46.49592440030473
93,46.459723947088406
94,46.42036002314734
95,46.385070053263824
96,46.34715745229199
97,46.30966666667606
98,46.27370016068339
99,46.238386198626735
100,46.19770513546407
101,46.1593301645574
102,46.11838554129027
103,46.08142510419898
104,46.040484777585974
105,46.003602093789915
106,45.967511048796766
107,45.93035542398003
108,45.891734039703834
109,45.85425495421429
110,45.81202917597643
111,45.77320924516238
112,45.73361743337984
113,45.69611049472206
114,45.6556572716332
115,45.61713788617547
116,45.57824012505521
117,45.53799474571057
118,45.49939389225195
119,45.45598527534346
120,45.416712721209485
121,45.37863439128481
122,45.3389176598644
123,45.29571178359583
124,45.25923835668777
125,45.224639541490674
126,45.18745466790967
127,45.1493905597086
128,45.11287565943671
129,45.073876279168815
130,45.03963179355527
131,45.00355695583699
132,44.96381119526827
133,44.92474926764054
134,44.88961718638266
135,44.852515842620036
136,44.816046976722895
137,44.78003606983425
138,44.740743084439174
139,44.70365026311895
140,44.6661185124183
141,44.62577782791662
142,44.588285478619646
143,44.55455261371237
144,44.518661058789284
145,44.478722252515695
146,44.44253259592953
147,44.396965898866796
148,44.360026064054615
149,44.322705463860146
150,44.285110639153444
151,44.24051142669005
152,44.19981119967096
153,44.164175842376494
154,44.118227751538434
155,44.08086452864302
156,44.04330796948646
157,44.00910620724034
158,43.972157390076525
159,43.936039694000016
160,43.89843734209949
161,43.86228278393533
162,43.82543367522877
163,43.78634905591045
164,43.75041440990852
165,43.7126121829261
166,43.67670982437649
167,43.64116812368602
168,43.60493620161604
169,43.569931864123724
170,43.53353186263441
171,43.492163889592085
172,43.452316244431906
173,43.41326811930505
174,43.37479714470723
175,43.3399434139223
176,43.300976114931544
177,43.25949720740483
178,43.22272948928421
179,43.18622239942208
180,43.14643803177962
181,43.11002810552067
182,43.06918319975186
183,43.03020734061391
184,42.992271286652446
185,42.955110541980055
186,42.91205292185904
187,42.87508418131508
188,42.83737022887032
189,42.80007098713016
190,42.765856788802786
191,42.72948883657745
192,42.69276053503568
193,42.654693386489114
194,42.61586873692607
195,42.577999749702386
196,42.53764635922437
197,42.49959442771767
198,42.461422537057835
199,42.4249521787816
200,42.38475826236204
201,42.345370896661564
202,42.310104688612725
203,42.273027921479034
204,42.235394785157816
205,42.20033413856499
206,42.16210938287799
207,42.12288348216836
208,42.086800119802014
209,42.05302597600241
210,42.015606871645794
211,41.98012468211889
212,41.94060498162831
213,41.903869472901825
214,41.86686164554663
215,41.82983341371674
216,41.789425383233926
217,41.75088008067142
218,41.71405717915829
219,41.675069019262054
220,41.63878910612286
221,41.60716980025488
222,41.55471531020974
223,41.516673372176854
224,41.480587942817834
225,41.44338410844017
226,41.40588478068018
227,41.37017842758931
228,41.33118948615088
229,41.29423311690334
230,41.25750397539581
231,41.22104342515876
232,41.18161451015733
233,41.14503232590599
234,41.10891453797756
235,41.07098936327955
236,41.03262504160754
237,40.99472749550464
238,40.95682624357118
239,40.91951906171931
240,40.883161169587744
241,40.842334979241805
242,40.805286217326405
243,40.768113340623295
244,40.72900971692361
245,40.690666455169634
246,40.65578547968
247,40.61615750124819
248,40.58028553743541
249,40.54313231997048
250,40.50786425278115
251,40.470935735967785
252,40.4273315891571
253,40.390215031215924
254,40.34674440491825
255,40.30827622018609
256,40.259086766447325
257,40.22300699699135
258,40.186133566086646
259,40.14635269185288
260,40.10612226533337
261,40.070601780270124
262,40.02657386225722
263,39.98737181765127
264,39.94937763194665
265,39.91003365550678
266,39.87306458500935
267,39.83646467888016
268,39.798708453774246
269,39.76280706665679
270,39.72247187509185
271,39.68902341000975
272,39.650810225061335
273,39.613239000370456
274,39.575688158085725
275,39.535864475763496
276,39.49529015780656
277,39.456645485293166
278,39.421501487624326
279,39.38594373504538
280,39.34607382296956
281,39.30821356766735
282,39.2688003279161
283,39.230106279394676
284,39.19249418189445
285,39.15258687065956
286,39.11767076157113
287,39.07916373519413
288,39.04120726723222
289,39.004978235359204
290,38.966468088423404
291,38.92921725260323
292,38.89066123386622
293,38.85128337409257
294,38.813496223209945
295,38.77735509903026
296,38.73998755486864
297,38.70290890467135
298,38.66568876538872
299,38.62777830948374
300,38.58759411003283
301,38.54826972900374
302,38.51237058932994
303,38.47470622141465
304,38.43795135263887
305,38.400762014592374
306,38.362655463598145
307,38.3224397872199
308,38.28398047540221
309,38.24232808941754
310,38.20755197132352
311,38.1717008725942
312,38.13395648973473
313,38.09597885575348
314,38.055854189393045
315,38.01828939948823
316,37.97935354365045
317,37.94174970993323
318,37.90563870956568
319,37.87014808349753
320,37.83025095349079
321,37.79295650202225
322,37.75620797168883
323,37.71748493970084
324,37.674993643268074
325,37.639703723342855
326,37.60233787960448
327,37.566616356041614
328,37.52661784688146
329,37.48697582127982
330,37.44860080976159
331,37.413041032690636
332,37.37404901607308
333,37.337584287573094
334,37.297929649932456
335,37.26112966235318
336,37.2223273285085
337,37.183327178538384
338,37.144153024615704
339,37.10890289599509
340,37.069828640978386
341,37.03356919939297
342,36.99664468733329
343,36.958373938697946
344,36.91996288208915
345,36.88335353229352
346,36.845017371349726
347,36.80952569315582
348,36.77231013178338
349,36.73321681151472
350,36.693971202863935
351,36.65760665822447
352,36.62095802550237
353,36.584577908549086
354,36.54121966747674
355,36.50078592884241
356,36.45732085933904
357,36.42042725250507
358,36.384446579287705
359,36.346801800215104
360,36.30693957788515
361,36.263782966678356
362,36.22363493927829
363,36.18504106232834
364,36.14279295707805
365,36.10595252473424
366,36.06615685678428
367,36.02803609703157
368,35.98961199990508
369,35.95159112163904
370,35.91477726889464
371,35.876934621757535
372,35.83891534782266
373,35.802098141225095
374,35.76559466860306
375,35.73011286525555
