round,residual_energy
1,49.96457692969929
2,49.92915507873163
3,49.89373200843094
4,49.85831022503594
5,49.822887154735255
6,49.787465557198345
7,49.75204996880173
8,49.71662696607371
9,49.68121156353516
10,49.6458365545563
11,49.610419746826665
12,49.5750449237059
13,49.53962933530925
14,49.504253106997396
15,49.4688896465354
16,49.43351463755657
17,49.398149771903434
18,49.36277494878267
19,49.32741130246259
20,49.29203507415071
21,49.2566716136887
22,49.221296604709835
23,49.18593173905677
24,49.15055691593599
25,49.11519326961588
26,49.07981704130406
27,49.04477715287239
28,49.00971248799864
29,48.97434762234555
30,48.93929637125517
31,48.90424306904018
32,48.86886684072831
33,48.833826952296704
34,48.798762287422946
35,48.76339742176982
36,48.728476292049145
37,48.69342298983417
38,48.658176882891986
39,48.62315236751857
40,48.58824753119282
41,48.553255969165775
42,48.51832161151981
43,48.48300769679539
44,48.44810053494182
45,48.41312685735894
46,48.378275201700085
47,48.34327041174777
48,48.30809536991666
49,48.273120400280895
50,48.23828400454208
51,48.20329384770614
52,48.168428964122036
53,48.133113830064616
54,48.09834122343563
55,48.0634346693906
56,48.02853501998262
57,47.99366243473086
58,47.95882418704034
59,47.92352958796272
60,47.88875698133374
61,47.85385042728869
62,47.81906149465149
63,47.784134550914814
64,47.749359793337845
65,47.71423155971427
66,47.67939546297175
67,47.64460875732607
68,47.609709107918086
69,47.57489242871108
70,47.54011786601377
71,47.504925947397
72,47.47015379300915
73,47.43525637059266
74,47.40059837545262
75,47.365847906370895
76,47.33100984453845
77,47.29588308760934
78,47.26113020099784
79,47.22640924421477
80,47.19162145940722
81,47.156954884135814
82,47.12231074920516
83,47.087353256516195
84,47.05258064988718
85,47.01800746678729
86,46.98327755185934
87,46.9487468376116
88,46.91390305821379
89,46.878949024341125
90,46.84423674233934
91,46.80979942026308
92,46.77499146286454
93,46.74040966567642
94,46.70563192847117
95,46.67074721358739
96,46.635956889115
97,46.60140454174374
98,46.5666746268158
99,46.53221097280792
100,46.497355193132044
101,46.46235233506806
102,46.42764005306629
103,46.393205848875276
104,46.358400603585764
105,46.32425616734798
106,46.289478430142715
107,46.2550337883183
108,46.22027676307791
109,46.18615822619498
110,46.151437285947104
111,46.117438029550506
112,46.08258224987462
113,46.04835840995861
114,46.01378002033975
115,45.97933955357774
116,45.94498064391859
117,45.910862709521886
118,45.87608497231668
119,45.84197927558091
120,45.80766289477482
121,45.77352787863887
122,45.738483366360626
123,45.704483575144195
124,45.67006516143206
125,45.63539928336677
126,45.60115983883651
127,45.56715944513382
128,45.532893363376395
129,45.49802554663507
130,45.46366124659562
131,45.42957404565597
132,45.39494086804443
133,45.3607315277126
134,45.326615873723576
135,45.29222588765757
136,45.25747925452986
137,45.22328603618074
138,45.18871490407759
139,45.15456883059899
140,45.12044004319013
141,45.085954632542496
142,45.051590456419795
143,45.017464799875704
144,44.9826248983064
145,44.94841490941484
146,44.91429876475753
147,44.87985788975011
148,44.84560221413828
149,44.81143870245932
150,44.77687186973268
151,44.7424100131659
152,44.70837961140953
153,44.67390578486986
154,44.639542116144874
155,44.60542563372228
156,44.570954316948324
157,44.53673689438298
158,44.50285956849576
159,44.46865333021075
160,44.43379651848784
161,44.399623891586714
162,44.36575233809956
163,44.33137251961374
164,44.297099177929596
165,44.26304148108706
166,44.22869819669027
167,44.19461899891003
168,44.1607629419797
169,44.125874868398355
170,44.09195189800418
171,44.057660562695865
172,44.023429659560506
173,43.9893360960087
174,43.954974615486314
175,43.920444588642326
176,43.886631786924525
177,43.852586034915944
178,43.81834303153589
179,43.783843907538646
180,43.75000392978775
181,43.71546971951077
182,43.68160503563326
183,43.64714624207006
184,43.612560936506746
185,43.57839608172229
186,43.544553162509494
187,43.50973974451026
188,43.475827013775984
189,43.44179260737414
190,43.407520715773664
191,43.37300219409307
192,43.33908081080759
193,43.30469613912527
194,43.27086488633259
195,43.236396199997216
196,43.20174155716242
197,43.16761630555854
198,43.133779396370514
199,43.099388445579706
200,43.065033269006236
201,43.030941345051545
202,42.996740701658254
203,42.9626734878365
204,42.92870836026973
205,42.893913771399916
206,42.86005641559271
207,42.82595453580834
208,42.79171401175151
209,42.757659086843304
210,42.723078301190036
211,42.68869403387516
212,42.65476374215837
213,42.62057635059875
214,42.5862164517231
215,42.551946135851914
216,42.51802261568599
217,42.48379958473497
218,42.44949339242345
219,42.415474044012925
220,42.38129269270034
221,42.34719420206858
222,42.31334338814255
223,42.278332182720206
224,42.244459143757354
225,42.21029142559207
226,42.17608663144355
227,42.14203048395229
228,42.107742120714896
229,42.07349609303138
230,42.03945686406774
231,42.005397839583296
232,41.97147684102614
233,41.93720706805185
234,41.90277864654654
235,41.86838495819914
236,41.83433776001889
237,41.8003548738249
238,41.766246039023436
239,41.73217396537459
240,41.6984230676349
241,41.663848478400986
242,41.62964883841769
243,41.595754467932295
244,41.56178592174371
245,41.527533700162344
246,41.49350687800422
247,41.458892938766255
248,41.42486038642328
249,41.39083513172903
250,41.356924466100146
251,41.322672323852025
252,41.28874199822735
253,41.254281166981634
254,41.22022303342269
255,41.186108297213536
256,41.15228526538797
257,41.11810856497229
258,41.08376394128972
259,41.049677868344595
260,41.015645993217056
261,40.98158421784042
262,40.94758917391322
263,40.913237394056125
264,40.87872401975012
265,40.84473666523242
266,40.810704641459736
267,40.77681340117121
268,40.74277245205538
269,40.70855841110039
270,40.67457549671586
271,40.64023552081017
272,40.60598885154469
273,40.57199779559152
274,40.53807760792275
275,40.50381738628579
276,40.46982154438145
277,40.43536898616024
278,40.401387264390976
279,40.36719833505901
